,file,sentence
39,common_voice_mn_18628213,Би ч бас тооцоотой хүн дээ.
40,common_voice_mn_18628216,Уржигдар та манай хажуугаар гарсан шүү дээ.
41,common_voice_mn_19521052,Уйлна ч гэж байхгүй хөөрхөн ааштай.
42,common_voice_mn_19521053,Бид охины чинь оронд нэг сая доллар нэхэж байна.
43,common_voice_mn_19670535,Тиймээс энэ дасгал бол яг үүний эсрэг утгыг танаас шаардаж байгаа юм.
44,common_voice_mn_19670537,Хамгийн их хайрладаг хүнээ алдсандаа охин маш их гашуудан шаналж байлаа.
45,common_voice_mn_18579237,Ноён Барбара танд би зөвлөгөө өгөх байна.
46,common_voice_mn_18579238,Энэ чинь итали нэр биш болохоор тогтооход хэцүү юм.
47,common_voice_mn_19521489,Байшинг анхааралтай ажигласан ч саяны хэлсэн бүгдээс илүү юм олж мэдсэнгүй.
48,common_voice_mn_19521491,"Гэхдээ, тэдэнтэй хамтран ажиллах ямар ч боломж гарсангүй."
49,common_voice_mn_18668064,Намдаг авгад цай өгөөгүйгээ гэнэт санажээ.
50,common_voice_mn_18668065,Биднийг уг байшинд орж гарахыг Оросууд ямар нэгэн аргаар ажигласан байх гэж дүгнэлээ.
51,common_voice_mn_20601797,Шинэ жил ойртсон шиг санагдаж байна.
52,common_voice_mn_20601863,Цэрэгмаа би уг нь явна гээгүй юм сан гэж хэлж ч чадсангүй.
53,common_voice_mn_19523683,Харин нэг арга байж болох юм.
54,common_voice_mn_19523684,Тийм амар түүний гараас салахгүй дээ.
55,common_voice_mn_19576778,"Нүднийхээ жилийг арчиж, нүүрийнхээ тоосыг цэвэрлэнэ ээ гээд угааж арчиж гарав."
56,common_voice_mn_19576779,Тэгээд л гэрээс хүн ирэхгүй болохоор уйлдаг байлаа.
57,common_voice_mn_18580841,Ирээдүйд нэг авах сайн чанар бий.
58,common_voice_mn_18580843,Тэгээд нөхрөөсөө тэр ургамлыг авчирч өгөхийг гуйв.
59,common_voice_mn_18635143,"""Өмнө дурдсанчлан Дээд Монголчуудын хувьд даяарчлал гэдэг бол """"Хятад болох"""" гэдэгтэй адил утгатай байдаг."""
60,common_voice_mn_18635145,Чулуу гэсэндээ булгалаад бут цохичихгүй бол ингээд сууж л байх юм.
61,common_voice_mn_19807242,Турк сургуулийн захирал Вейсел Акчайг гэрийнх нь гаднаас хулгайлах гэсэн оролдлого болжээ.
62,common_voice_mn_19807243,"Нойр нь хүрэв үү, эсвэл ямар нэг зүйл тунгаан бодохыг хүсэв үү, бүү мэд."
63,common_voice_mn_18653124,Үг олдож үхэр холдохоос өмнө гэрийн зүг гэдэн годон хийгээд гэлдэрье.
64,common_voice_mn_23904579,Тэр хоёр бяруугаар нь бух тавьчих!
65,common_voice_mn_20420229,Эхнэрийнхээ гарыг атгаад хамт өнгөрүүлсэн сайхан дурсамжаасаа ярина.
66,common_voice_mn_20420235,"""Франклин """"Залхуу хойрго хийгээд үг дуугүй байна гэдэг тэнэгүүдийн хувь заяа"""" гэж хэлжээ."""
67,common_voice_mn_20420238,Алтан ордны улсын эзэн Батхаан алт мөнгөнд дурласан хэрэг үү.
68,common_voice_mn_23551698,Энэ талаар хүмүүс юу гэж ярьж байна?
69,common_voice_mn_23551700,Цагаан цаас шиг цэвэр тунгалаг мөнгө ч бас биш ч юм шиг.
70,common_voice_mn_23551701,Маш энгийн боловч сонирхолтой энэ туршилтыг анх Вебер хийж байжээ.
71,common_voice_mn_23335765,Энэ нь бухын тулаан гэсэн үг.
72,common_voice_mn_23335767,Зам дагуу зээр гөрөөсний сүрэг хэдэнтээ таарав.
73,common_voice_mn_23335768,Юу ирж байгааг харахыг хүссэн ч хойшоо харж зүрхэлсэнгүй.
74,common_voice_mn_18577463,Мөнгөн тэр азарганы үр юм гэсэн.
75,common_voice_mn_18577465,"Өнөөдөр Их Брританийн хунтайж Харри, Холливүүдийн жүжигчин Меган Маркл нар хуримаа хийж байна."
76,common_voice_mn_18577468,Бид энэ залуугаас ганц хоёр зүйл тодруулж асуугаад удахгүй буцаагаад хүргээд ирнэ.
77,common_voice_mn_19489791,Жижиг шүүгээн дээр хайрцагтай тамхи байгааг Кирилл сая олж харав.
78,common_voice_mn_19489792,"Галт тэрэгний яндан дахин хүнгэнэж, урт цуваа алгуурхан хөдөлж эхлэв."
79,common_voice_mn_19489793,Бид монголчуудыг сайн мэдэж амжаагүй байна.
80,common_voice_mn_18986306,Тэд үр дүнгийн төлөө тооцоолсон үнийг авч байсан бөгөөд наанадаж албаны маягаар хариуцлагатай байсан.
81,common_voice_mn_18986307,Хүүхнүүдийг хамгаалахад жонон дургүй гэдгийг тэр мэдэж байлаа.
82,common_voice_mn_18986308,Сэтгүүлч хана түшээд шалан дээр хагас хэвтэж байлаа.
83,common_voice_mn_18584009,Харин хөдөөний ажил сурах болов уу л гэж аминдаа зовох юм.
84,common_voice_mn_18584010,Зөвхөн эрдэмтэн хүн л үүний учрыг олж тайлбарлаж чадна.
85,common_voice_mn_18584011,"Гансүх тэр орой гадуур гарч хүүхэдтэй тоглосон ч үгүй, гэртээ холхисоор байв."
86,common_voice_mn_18758744,Дөрвөн толгой цаасан дээр буулгасан зураг руу тонгойв.
87,common_voice_mn_18758746,Тийм байж таарлаа шүү гээд хамгаалагчид инээлдэв.
88,common_voice_mn_18758747,Хөрс шороотой л газар бол амьдарч байх хугацаандаа мод суулгаарай.
89,common_voice_mn_19490434,Одоо Уламжлалт намын тэргүүн Жон Мажор Их Британийн ерөнхий сайдын албыг хашиж байгаа ажээ.
90,common_voice_mn_19490436,Иймээс Бувардай тэр хоёр эндээс хурдан оргон зайлах аргаа сүвэгчилж эхлэв.
91,common_voice_mn_19490438,Ганцхан тэр чигт бий гэж тааварлаад хоёр их нурууг тусгаарласан өргөн хөндийг туулж явлаа.
92,common_voice_mn_18581002,"Хүн ам өссөнөөр хот тохижилт, ялангуяа хог хаягдлын асуудал илүү хүндрэлтэй болжээ."
93,common_voice_mn_18581003,Их Төрөлхтөн өлбөрч үхэх шахсан эх барыг хараад өөрийн эрхгүй өрөвдөх сэтгэл төржээ.
94,common_voice_mn_18581004,Арван цагийн үед хүүхдүүд бид хоёрыг сэрээлээ.
95,common_voice_mn_18747201,Ингээд би улаан болсон юм аа.
96,common_voice_mn_18747202,Хэн түүнийг ингэв гэж шүүмжлэх билээ.
97,common_voice_mn_18747205,Чингис-Шихихутаг төрийн хууль ёсыг захирсан өрлөг болсон.
98,common_voice_mn_19418954,Одоо би Танд сүүгээ дандаа үнэгүй өгч байна!
99,common_voice_mn_19418955,Дүү охин тэгээд ямар зорилготой ирэв дээ?
100,common_voice_mn_19418956,Нэг үхэхээс хоёр үхэх юм биш!
101,common_voice_mn_18606194,Тэр дөрвөн хоригдлын нэг нь Глымов байв.
102,common_voice_mn_18606196,"Гэтэл, нөхрийнхөө хамт радийг нээн илрүүлж байхдаа уг өвчнийг олсон байжээ."
103,common_voice_mn_18606197,Багш нимгэн дэвтрийг дундуур нь огтлон тал тал дэвтэр бидэнд тавьж өгнө.
104,common_voice_mn_18577224,Мөн тэр хатуу хүмүүжлийн үзэл санаа дэвшүүлсэн.
105,common_voice_mn_18577225,Энэ үеэр олон улсад хүлээн зөвшөөрөгдсөн шийдлийг боловсруулахын чухлыг онцолж байлаа.
106,common_voice_mn_18577226,Балба улсын хонины хишиг нь их буюу.
107,common_voice_mn_18577596,"Мелоне америкийн эмэгтэйчүүд түүний ажлыг ямар их сонирхож, өөрөөр нь хэрхэн бахархдаг тухай хэлэв."
108,common_voice_mn_18577597,Би өөрийнхөө ирээдүйн тухайд ч барин тавин хэлэх юм алга.
109,common_voice_mn_18577598,Хөх тэнгэр одоо аварга хонх боллоо.
110,common_voice_mn_18577518,"""Монгол хэлнээ """"төгс"""" хэмээх сайн сайхны бэлгэт үг бий."""
111,common_voice_mn_18577520,Аливаа гай барцдыг очроор огтлох лугаа адил дарж чаддаг хэмээн сүсэглэдэг.
112,common_voice_mn_18577521,Учир нь тэндэх нэгдлийн эрдэнэ шишийн ургац аймаг даяар шагшигдаж байлаа.
113,common_voice_mn_18934896,"Дотор эрхтэн дээр үүссэн үхжилүүд элэг, бөөр, уушгины цирроз, хатууралт өөрчлөлт үүсгэдэг."
114,common_voice_mn_18934898,Юун их гал вэ энэ чинь.
115,common_voice_mn_18934899,Захирал тантай уулзах гэж ёстой л солиотой юм шиг яарч байна.
116,common_voice_mn_21671118,Түүний хэл болон хэлзүйн хийсвэрлэлийн тодорхойлолт нь автомат өгүүлбэрзүйн боловсруулалтын үндсийг хангаж өгдөг.
117,common_voice_mn_21685259,Манай ажлынхан нэг бөөг бүгдээрээ шүтэх нь холгүй байна.
118,common_voice_mn_21686257,Нэг газар хурдхан шиг ирээд харайлгадаг бага шиг ганга байлаа.
119,common_voice_mn_18986549,Эр ботгоор нь буур тавина гэж аав хөөрдөг байв.
120,common_voice_mn_18986550,Одоохон буулгаад өгье гээд охиноо газар буулгалаа.
121,common_voice_mn_18986552,Үүнтэй адил Бурхан багшийн сургаалыг анхааралтайяа сонсдог хүн биеэ гамнаж хайрлах ёстой юм.
122,common_voice_mn_18580167,Үгүй ингэхэд дөрөвдүгээр ангийн хоёр багш маань жаахан түнжин муутай байна уу даа.
123,common_voice_mn_18580168,Би бодож болох гэсэн зүйлээ олсон ч үгүй нам унтчихжээ.
124,common_voice_mn_18580170,Ар тэнхмийн зүүн цомцогт тахиж бүхий авдар болно.
125,common_voice_mn_19574665,Үүнийг дагаад юу юу орж ирнэ гэж бодож байна.
126,common_voice_mn_19574666,Харь гарагийн хүн бол нууц үг мэддэггүй ухаант бодгаль.
127,common_voice_mn_19574667,Гэртээ эргэж очингуутаа энэ тухай Фрэнктэй шууд ярилцах хэрэгтэй.
128,common_voice_mn_23879945,Тэр навтгар юм юу юугүй харайлган ойртож ирлээ.
129,common_voice_mn_23879949,Би тэрүүхэндээ зовохын эрхэнд Должинг сугадахаар нь хавчисхийсэн юм байж л дээ.
130,common_voice_mn_23880028,"""Үүнийг зөвшөөрч аваад хэрэглэвэл, """"магад бэлэг дотроос хулгай хийсэн биз"""" гэж айхтар загнана."""
131,common_voice_mn_18577195,Намайг хэн гэдгийг мэднэ биз дээ?
132,common_voice_mn_18577198,Тэд ч бас юу хийж чадах билээ?
133,common_voice_mn_18577199,Заантай нууц гэдэг нь энэ байж.
134,common_voice_mn_18595203,Та ер нь ухаан орсоор нутагтаа очсон уу?
135,common_voice_mn_18580489,Шинээр гарч буй утаснуудад гарч буй нэг шинэчлэл дэвшил бол селфи камер юм.
136,common_voice_mn_18580490,Аавын өгсөн нэг төгрөг чинь ийм олон хуушуур болдог юм уу?
137,common_voice_mn_18580491,Нэг удаагийн гялгар уут хэрэглэхийг дэлхийн олон оронд хориглож эхэлжээ.
138,common_voice_mn_18580492,Үнэнээ хэлсэн чинь дээр байх шүү.
139,common_voice_mn_19003567,Үүний нэгэн томоохон сэжим нь Монголын төрийн захиргааны онцлогтой холбогдож буй.
140,common_voice_mn_19003568,Та өөрөө бүгдийг харж сонссон биз дээ.
141,common_voice_mn_19003569,Таны амьдралдаа баримталж буй үнэт зүйлийн зорилго юу вэ?
142,common_voice_mn_19003571,Ямар ч урлаг үзэхээ больсон ардуудад өөр юугаа өвөр хоорондоо хуучлах билээ?
143,common_voice_mn_18595234,Нүүдлийн араас яаран шогштол зам дээр нэг авдар байна.
144,common_voice_mn_18595235,Их цэрэг нутгаа санаж чилж гүйцлээ.
145,common_voice_mn_18595236,Чи чинь үүд хаалга хэмх татчих гээд юү болохоороо ингэж сандарч явдаг байна!
146,common_voice_mn_18595238,Сурагчдыг автомашинаас нь багш тосож авдаг болсон нь түгжрэлийг бууруулах шийдлийн нэг юм.
147,common_voice_mn_23398221,Энэ дарвианаар Сүүлэн хүү холтсон дотор ороод нуугджээ.
148,common_voice_mn_23398222,Олон хоолой нийлсэн найрал дуу түүнийг даллан дуудаад байгаа мэт санагдлаа.
149,common_voice_mn_23398256,Айл гэрийнхээ голомтыг асаасан ийм нутгаас сална гэхэд яс янгинах шиг болов.
150,common_voice_mn_23398257,Урдаас тэвэрч араас хутга шаадаг хүн байдаг гэсэн.
151,common_voice_mn_18588321,Халдварын ихэнх тохиолдол вирусийн халдвар тархсан орнуудад зорчсон хүмүүсээс эхтэй юм.
152,common_voice_mn_18588322,Мэргэд цусны хатан буулгаж Бөртийн сэтгэлийг шархлуулсандаа Тэмүжин өнөө болтол шаналсаар байжээ.
153,common_voice_mn_18588323,Тэгсэн ч гэсэн яадаг юм бэ?!
154,common_voice_mn_18588324,Тиймээс үргэлж эерэг хариу үйлдэл хийхийн тулд хичээгээрэй.
155,common_voice_mn_19371161,Нурамнаас нь үл танигдах эрэгтэйн чандар олдсон байна.
156,common_voice_mn_19371162,Маргааш нь ангийн нь хүүхэд ихэнхдээ гэрийн даалгавар хийгээгүй ирсэн байлаа.
157,common_voice_mn_19371163,Замын цагдаагийн газрын хажуугийн цагаан хоолны газар очиж хоол идье.
158,common_voice_mn_19371164,"Дав хийж эргэн үзэх гэтэл, нэг их том хар юм ухасхийгээд намайг бариад авлаа."
159,common_voice_mn_18577314,Өөрийг нь суллавал сая саяын хөрөнгө өгнө гэж ярьдаг байж.
160,common_voice_mn_18577315,Байгал амиа хорлох гэсэн гэв үү та?
161,common_voice_mn_18577316,Ухамсартай байснаар бид зуршлын энергийг таньж түүний биднийг эзэмдэхээс урьдчилан сэргийлж чадна.
162,common_voice_mn_18577317,Харин зорилготойгоор тэгсэн бол тоглоом дууссан л гэж бод.
163,common_voice_mn_18578651,Гэтэл эрийг нь цэргүүд тэр завсар нэгэнтээ алжээ.
164,common_voice_mn_18578652,Үүнээс гадна Монголын эзэнт гүрний дотор Монгол овогтон угаасаа цөөн хүн амтай байсан.
165,common_voice_mn_18578653,Хоёрдугаар тасаг руу явах зам бартаагүй цагаан агаад цааш нааш машин ер тасардаггүй билээ.
166,common_voice_mn_18578654,"Өөрөөр хэлбэл, хувьчилж авсан бэлчээр дотроо нүүгээд байж болно гэсэн үг."
167,common_voice_mn_18930129,Тэд ийнхүү бүгдээрээ тонголзон явсаар дуусав.
168,common_voice_mn_18930130,Бид огт дэмий зүйлсийн тухай ярилцана.
169,common_voice_mn_18930131,Чи түүний хамаг шим шүүсийг шавхан үргэлж энгэр зөрүүлж хэвтэхийг шахдаг байсан.
170,common_voice_mn_18930132,"Эд болбол, саяхан хэд хоногийн дотор гараад ойр хавийн хүн малыг сүйтгэн байна."
171,common_voice_mn_18580703,"Дэлхийн олон орны хүмүүстэй танилцана, найзалж нөхөрлөнө, цуглуулгаа солилцоно, бас бэлэглэнэ."
172,common_voice_mn_18580706,Ирэх хаврыг би тэсэн ядан хүлээж эхэллээ.
173,common_voice_mn_18580707,Сайхан зүйл тохиолдоход л хөгжил хөөртэй болдог.
174,common_voice_mn_18580708,Би амьдарч чадаж л байгаа ш дээ.
175,common_voice_mn_18577174,Ургамлын гаралтай уушги цэвэрлэх үйлчилгээтэй цай хэрэглэж хэвшихийг эмч нар зөвлөдөг.
176,common_voice_mn_18577177,Дүү минь өнөөх л санааширдаг зүйлүүдээ бодож эхэлжээ.
177,common_voice_mn_18577179,Бүсгүй ч гэсэн түүний бодлыг тааж урам хугарсныг нь ойлгоод сэтгэлээр унажээ.
178,common_voice_mn_18710160,Энэ бүхэнд гуниглах юм юу ч үгүй.
179,common_voice_mn_18710162,Тэгэхээр чи арга чарга байдаг юм бол цэргүүдтэй нийлээд л явчих.
180,common_voice_mn_18710165,Зохиогчид нь байсаар байтал ардын дуу гэж төөрч будилдаг явдал ганц энэ бишээ.
181,common_voice_mn_18710167,Харваас чи цаддаггүй юм байна шүү дээ.
182,common_voice_mn_18583476,Гэтэл лабораторид хамт ажилладаг Пиер Кюре түүнд таалагдаж эхлэхэд Мария ихэд гайхаж байлаа.
183,common_voice_mn_18583477,Тэр хүнийхээ тухай бас яриад өгөөч.
184,common_voice_mn_18583478,Хэн хэлсэн нь яах вэ.
185,common_voice_mn_18583480,"""Гомбо дахин бодож алдаагаа олмогц, """"Аа тийм байна"""" гэж нүд нь гялалзан хэллээ."""
186,common_voice_mn_19531141,Яах гэж амттайхан өвсөө хаях вэ дээ?
187,common_voice_mn_19531142,Тайж хүн өөрийг нь шоолохыг хориглож байна.
188,common_voice_mn_19531143,Гэсэн ч тэд сэтгэлийнхээ гүнд үүнийхээ худал хуурмагийг ухаарч л байдаг.
189,common_voice_mn_19531145,Сэргийлэх оюутнуудыг барьж аваад залилангийн хэргээр гурван жил шоронд суулгажээ.
190,common_voice_mn_18581684,Уухаас өөр юм мэдэхээ больсон доо.
191,common_voice_mn_18581686,"Үнэгүй юманд нугасгүй шуурдаг хүмүүс хүүхдээ хий ханиах төдийд эм, тариагаар угжаад байх вий."
192,common_voice_mn_18581687,Дамбий өвгөнийд хавийн улс цуглаад бөөн шуугиан хөөрөөн болж байв.
193,common_voice_mn_18581688,Уулзсаных танд зөвлөж хэлэхэд хүүдээ олигтойхон хувцас хийж өгмөөр юм.
194,common_voice_mn_18585280,"""""""Энэ нь мөнгийг улс төртэй холбохоор өөрчлөлтийг алхам алхмаар хийнэ гэсэн үг"""" гэжээ."""
195,common_voice_mn_18585282,Чи эмнэлэг рүүгээ очиж бай гээд нэгэн зүйлд зорин одов.
196,common_voice_mn_18585283,Охин тэнд буугаад тосгон хүртэл унадаг дугуйгаар явж хүрэх ёстой.
197,common_voice_mn_18585284,Иймхэн юмны учрыг олоод аятайхан хийчхэж чадахгүй яадаг тэнэг вэ гэж үглэлээ.
198,common_voice_mn_20812965,Тэнгэр харсан хоёр муу шаахай үлдсэн.
199,common_voice_mn_20812970,Саран бид хоёр яг л урд адил эв найрсаг харьцдаг байв.
200,common_voice_mn_20813003,Би жаргалтай юм шиг танд харагдаж байна уу?
201,common_voice_mn_20813051,"Улаанбаатарт өглөө эрт дасал болоогүй хоосон гудамж, хаалттай дэлгүүр, кафенууд угтсан юм."
202,common_voice_mn_18577569,Тэрээр аливаа яриаг хийхдээ үргэлж сонин содон зүйлсийг ярьдаг байна.
203,common_voice_mn_18577570,Одоогийн гэгээн соёлт Монгол оронд эрдэм сурахын бололцоо нарны гэрэл шиг өргөн дэлгэр байна!
204,common_voice_mn_18577571,Ерөнхийлөгч Обама хүний эрхийг хамгаалахын ач холбогдлыг харуулахаар Кубын ардчиллыг дэмжигч идэвхтнүүдтэй уулзжээ.
205,common_voice_mn_18577572,Дэлхий үнэхээр том бас агуу юм шиг.
206,common_voice_mn_18578301,Түүнийг өөрийн мэдэлгүй үсээ хяргаж хаяснаас хойш долоо хоногийн дараа.
207,common_voice_mn_18578302,Болзошгүй аюулаас сэргийлэхийн тулд дархлаажуулалтад сайн дураар хамрагдах хэрэгтэй гэдэг.
208,common_voice_mn_18578303,Та хэзээ нэгтэй өөрийгөө туйлдуулж үзсэн үү?
209,common_voice_mn_18578304,Яахаараа намайг харж чадахгүй хялалзаад унав.
210,common_voice_mn_23379708,Би таныг хүргэж өгнө гэж мэдэгдэв.
211,common_voice_mn_23379712,Чи ихээхэн ажигч хүн юмаа даа.
212,common_voice_mn_23379724,Цаашдаа ч мөн тийм байх болно.
213,common_voice_mn_23379744,Түүнээс зарж борлуулсан бол яаж ийгээд чимээ дуулдмаар л юм даа.
214,common_voice_mn_18584019,Тэр үеийн хүн адуу хоёрын яс чанарыг илтгэнэ биш үү.
215,common_voice_mn_18584020,Мөнгө хуваарилдаг ардчилсан засаг тэдэнд бий.
216,common_voice_mn_18584021,"Охиныхоо тухай, бас өөр хүүхэдтэй болбол тэднийхээ ирээдүйг бодолцох хэрэгтэй."
217,common_voice_mn_18584022,Ёстой үхлийн ирмэг дээр байсан шүү гэж Гэндальф ярилаа.
218,common_voice_mn_18577478,Наад зах нь дайрлага дайрч өрөөл татуу болно.
219,common_voice_mn_18577479,Маш нарийн хурц үзүүртэй нэгэн тэвнэ өөрийгөө зүү гэж боддог байжээ.
220,common_voice_mn_18577482,"Монгол бичгийг сурахад цаас, харандаа, сэтгэл гурав байхад л болдог гэдэг."
221,common_voice_mn_18592471,Сэтгэл нь надад харагдаж байсан хэрэг гээд ээрэм талын зүг харцаа бэлчээлээ.
222,common_voice_mn_18592473,Тэр үдэш шиг сэтгэл тэнүүн баяр хөөр дүүрэн байсан үеийг одоо санахгүй байна.
223,common_voice_mn_18592475,"""""""Хийх газар олдохгүй халаасанд хаягдчих гээд байхаар нь"""" гэж займчуулав."""
224,common_voice_mn_18592476,Хэдэн хундага архи цааш хийсний дараа Баатарын цулцгар хацар ягаараад ирлээ.
225,common_voice_mn_18620781,Сүртэй юм болоогүй шүү дээ.
226,common_voice_mn_18620783,Тэгээд тэр спирт нь тэнгэрийн цахилгаан татсан юм байх.
227,common_voice_mn_18620784,"Нусаа нийж, хоолойгоо засан, хоёр гурав ханиагаад явж оров."
228,common_voice_mn_18620785,Сүм хийдийн хийх дуртай нэг ажил нь шулам илрүүлэх.
229,common_voice_mn_18591177,"Байр, хоол, хувцас, ном дэвтэр, сургуулийнхаа төлбөрийг төлөхөд арай гэж хүрнэ."
230,common_voice_mn_18591178,Тэдэнд үнэнийг хэлбэл Алтансүхийг яасан ч өршөөхгүй.
231,common_voice_mn_18591179,Харин түүний утасны дуудлагын заримд нь л хариулахгүй байж болно.
232,common_voice_mn_18591181,Би таны хөлийн дэргэд ингэж суухыг эртнээс мөрөөдөв гэж гүн алга хавсран хэллээ.
233,common_voice_mn_18587220,"""Ер нь хэрэгтэй материал шүү гэж бодоод, """"Анхаарал тавьсанд баярлалаа"""" гэж илтгэлээ төгсгөв."""
234,common_voice_mn_18587221,Хамгийн энэрэлгүй тоглоомд хөөрхий Болд өртжээ.
235,common_voice_mn_18587222,Цэвэрхэн нүүртэй хүүхэлдэйг шавраар хийсэн бололтой харагдана.
236,common_voice_mn_18587224,Энэ хооронд найзад минь заримдаа залуугаа хардах удаа ч гардаг л байж.
237,common_voice_mn_18583706,"Бүжинлхамыг хүүхэд эрүүл энх өсөн торниход, эхчүүдийн сайн сайханд айлтгуулна."
238,common_voice_mn_18583707,Учир мэдэх дарга нараас дуулна даа гэж бодсоор зориуд орж ирсэн хэрэг байжээ.
239,common_voice_mn_18583709,Харанхуйд байтугай гэрэлтэйд надад баримжаа байсан гэж үү.
240,common_voice_mn_18583710,Тэр далайн амьтан учраас газар дээр гаран хөдлөн явахад тун хэцүү.
241,common_voice_mn_18603716,Тиймд бүтээн байгуулалтын ажил эрчтэй өргөж байна.
242,common_voice_mn_18603717,Шагнал гардуулах үед тэд шагналаа Шведэд очиж авах боломжгүй байлаа.
243,common_voice_mn_18603718,Цэрэг элсүүлэх ажлыг Гомбосүрэн бид хоёр хийж болно.
244,common_voice_mn_18603720,"Тэдгээр төрөөс татаас авах үйлдвэрүүдийг зөвхөн Ухаа худаг, Таван толгойн медлингийг ашиглахыг шаардаж буй."
