row_index,audio_filepath,audio_exists,duration,text,split,text_raw
10,D:\Projects\speech-recognition-demo\audios\common_voice_mn_18709604.wav,True,6.96,"""Албаар дампууруулаад, """"Голомт"""" банктай нэгтгэж тэндээсээ гайгүй хувь хүртсэн ч гэлцдэг.""",train,"""Албаар дампууруулаад, """"Голомт"""" банктай нэгтгэж тэндээсээ гайгүй хувь хүртсэн ч гэлцдэг."""
11,D:\Projects\speech-recognition-demo\audios\common_voice_mn_20584960.wav,True,3.912,Надад захидлууд байгаа хэмээн хэлэв.,train,Надад захидлууд байгаа хэмээн хэлэв.
12,D:\Projects\speech-recognition-demo\audios\common_voice_mn_18577805.wav,True,7.872,Менежерүүд үүнтэй адил бизнесийн үйл ажиллагаагаа хянан засаж залруулах шаардлага зүй ёсоор гардаг.,train,Менежерүүд үүнтэй адил бизнесийн үйл ажиллагаагаа хянан засаж залруулах шаардлага зүй ёсоор гардаг.
13,D:\Projects\speech-recognition-demo\audios\common_voice_mn_20990701.wav,True,7.752,"""""""Шаманизм"""" гэдэг үг европт нэгдсэн нэгэн салбарыг, нийгмийн бүлгийг, институтийг нэрлэж байгаа.""",train,"""""""Шаманизм"""" гэдэг үг европт нэгдсэн нэгэн салбарыг, нийгмийн бүлгийг, институтийг нэрлэж байгаа."""
14,D:\Projects\speech-recognition-demo\audios\common_voice_mn_19670533.wav,True,5.76,Энэ дэвжээний хүчтэнүүдэд бүгдэд нь дээшээ цойлж барилдах боломж бий.,val,Энэ дэвжээний хүчтэнүүдэд бүгдэд нь дээшээ цойлж барилдах боломж бий.
15,D:\Projects\speech-recognition-demo\audios\common_voice_mn_18577654.wav,True,8.4,"Тэгээд л газрын гүнээс гарсан цэл хүйтэн усаар үс толгойгоо угааж, хөгжилдөн шуугилддаг юм.",train,"Тэгээд л газрын гүнээс гарсан цэл хүйтэн усаар үс толгойгоо угааж, хөгжилдөн шуугилддаг юм."
16,D:\Projects\speech-recognition-demo\audios\common_voice_mn_19513571.wav,True,6.072,Хэд хоногоос оруулна даа гээд бүр хөдөлж өгөхгүй байв.,train,Хэд хоногоос оруулна даа гээд бүр хөдөлж өгөхгүй байв.
17,D:\Projects\speech-recognition-demo\audios\common_voice_mn_23689569.wav,True,2.88,Та нарын дарга гэж байгаа биз дээ?,val,Та нарын дарга гэж байгаа биз дээ?
18,D:\Projects\speech-recognition-demo\audios\common_voice_mn_23379642.wav,True,7.758375,"""Сэвжидийн нүд сэргэж, """"Юу ч бол мэндтэй л болсон, Дэвшилттэй шүү"""" гэв.""",train,"""Сэвжидийн нүд сэргэж, """"Юу ч бол мэндтэй л болсон, Дэвшилттэй шүү"""" гэв."""
19,D:\Projects\speech-recognition-demo\audios\common_voice_mn_23696712.wav,True,6.1910625,"Ээж ээ, би хүүхэлдэйгээ энэ ягаан алчуураар өлгийдүүлье гээд гүйгээд ирлээ.",train,"Ээж ээ, би хүүхэлдэйгээ энэ ягаан алчуураар өлгийдүүлье гээд гүйгээд ирлээ."
20,D:\Projects\speech-recognition-demo\audios\common_voice_mn_18961230.wav,True,6.912,"Арван гурван санг аливаа бузрыг арилгахад, мөн хийморь баруун тийшээ хазайсан үед айлтгуулна.",train,"Арван гурван санг аливаа бузрыг арилгахад, мөн хийморь баруун тийшээ хазайсан үед айлтгуулна."
21,D:\Projects\speech-recognition-demo\audios\common_voice_mn_21668199.wav,True,7.032,"Гэртээ бол Мария бяцхан охиноо усанд оруулж, гэрийн ажил хийж ээж, эзэгтэйн үүргийг гүйцэтгэнэ.",train,"Гэртээ бол Мария бяцхан охиноо усанд оруулж, гэрийн ажил хийж ээж, эзэгтэйн үүргийг гүйцэтгэнэ."
22,D:\Projects\speech-recognition-demo\audios\common_voice_mn_23641037.wav,True,8.16,"""Өөр нэгэн өнцгөөс хэлбэл, монгол бичиг аль ч талаасаа тун """"уян хатан"""" бичиг.""",train,"""Өөр нэгэн өнцгөөс хэлбэл, монгол бичиг аль ч талаасаа тун """"уян хатан"""" бичиг."""
23,D:\Projects\speech-recognition-demo\audios\common_voice_mn_18577604.wav,True,5.64,Ингэхэд би чамд шинэ хослол худалдаж авсан.,train,Ингэхэд би чамд шинэ хослол худалдаж авсан.
24,D:\Projects\speech-recognition-demo\audios\common_voice_mn_20177239.wav,True,5.28,Тэнхимийн багш улааны энэ дэвхрэгийн гишгэх газраа олохгүй онгирч байгааг.,train,Тэнхимийн багш улааны энэ дэвхрэгийн гишгэх газраа олохгүй онгирч байгааг.
25,D:\Projects\speech-recognition-demo\audios\common_voice_mn_19521607.wav,True,7.08,Ой ч хүрээгүй нялх хүүхэд манайд байгаа шүү дээ.,test,Ой ч хүрээгүй нялх хүүхэд манайд байгаа шүү дээ.
26,D:\Projects\speech-recognition-demo\audios\common_voice_mn_19521609.wav,True,7.56,Орныхоо дээд талд хүрэн гудас дэвсээд үд болтол үхсэн мэт нам унтжээ.,train,Орныхоо дээд талд хүрэн гудас дэвсээд үд болтол үхсэн мэт нам унтжээ.
27,D:\Projects\speech-recognition-demo\audios\common_voice_mn_18584585.wav,True,6.312,Удвал Уянга хоёр том өрөөний ширээний хоёр талд суусан хэвээр.,train,Удвал Уянга хоёр том өрөөний ширээний хоёр талд суусан хэвээр.
28,D:\Projects\speech-recognition-demo\audios\common_voice_mn_18584587.wav,True,4.8,Амьд явахад алтан аяганаас ус ууна гэж үнэн юмаа.,train,Амьд явахад алтан аяганаас ус ууна гэж үнэн юмаа.
29,D:\Projects\speech-recognition-demo\audios\common_voice_mn_21410760.wav,True,6.672,Цаана чинь чамайг татаг гээд хаяж орхисон иштэй тамхи бишгүйдээ байгаа биз.,train,Цаана чинь чамайг татаг гээд хаяж орхисон иштэй тамхи бишгүйдээ байгаа биз.
30,D:\Projects\speech-recognition-demo\audios\common_voice_mn_21410801.wav,True,6.792,Эрт урьд цагт Болдоггүй Бор өвгөн гэж нэг өвгөн аж төрөн суудаг байж гэнэ.,test,Эрт урьд цагт Болдоггүй Бор өвгөн гэж нэг өвгөн аж төрөн суудаг байж гэнэ.
31,D:\Projects\speech-recognition-demo\audios\common_voice_mn_20401663.wav,True,8.448,Тэгээд байнга өлмий дээрээ өндөлзөн хөлөөрөө ийш тийш өшиглөдөг байсан.,train,Тэгээд байнга өлмий дээрээ өндөлзөн хөлөөрөө ийш тийш өшиглөдөг байсан.
32,D:\Projects\speech-recognition-demo\audios\common_voice_mn_20401671.wav,True,6.456,Өвдөөд байсан газраа сая иод түрхүүлж өвчин нь жаал дарагдаад явж байна.,train,Өвдөөд байсан газраа сая иод түрхүүлж өвчин нь жаал дарагдаад явж байна.
33,D:\Projects\speech-recognition-demo\audios\common_voice_mn_21636403.wav,True,2.952,Энэ үед тэрбээр юу ч анзаарахгүй.,train,Энэ үед тэрбээр юу ч анзаарахгүй.
34,D:\Projects\speech-recognition-demo\audios\common_voice_mn_21636504.wav,True,4.68,Харин Борын хувьд яаж буудахыг заалгах хэрэггүй байв.,train,Харин Борын хувьд яаж буудахыг заалгах хэрэггүй байв.
35,D:\Projects\speech-recognition-demo\audios\common_voice_mn_18705157.wav,True,8.16,Мунхаг би өөрийн зоригоор танд шадарлаж ирлээ.,train,Мунхаг би өөрийн зоригоор танд шадарлаж ирлээ.
36,D:\Projects\speech-recognition-demo\audios\common_voice_mn_18705160.wav,True,8.28,Энэ зах харин Азийн бусад захуудтай адил төрөлжсөн маягийн зохион байгуулалттай.,train,Энэ зах харин Азийн бусад захуудтай адил төрөлжсөн маягийн зохион байгуулалттай.
37,D:\Projects\speech-recognition-demo\audios\common_voice_mn_18582705.wav,True,4.344,Мэри биеэ эзэмдэн барихыг хичээн зогсоно.,train,Мэри биеэ эзэмдэн барихыг хичээн зогсоно.
38,D:\Projects\speech-recognition-demo\audios\common_voice_mn_18582706.wav,True,5.952,Монгол бичиг монгол ухаанаар бүтээсэн бүхий л мэдлэг ухааныг тээж ирсэн билээ.,test,Монгол бичиг монгол ухаанаар бүтээсэн бүхий л мэдлэг ухааныг тээж ирсэн билээ.
39,D:\Projects\speech-recognition-demo\audios\common_voice_mn_18628213.wav,True,4.56,Би ч бас тооцоотой хүн дээ.,train,Би ч бас тооцоотой хүн дээ.
40,D:\Projects\speech-recognition-demo\audios\common_voice_mn_18628216.wav,True,4.392,Уржигдар та манай хажуугаар гарсан шүү дээ.,train,Уржигдар та манай хажуугаар гарсан шүү дээ.
41,D:\Projects\speech-recognition-demo\audios\common_voice_mn_19521052.wav,True,4.92,Уйлна ч гэж байхгүй хөөрхөн ааштай.,train,Уйлна ч гэж байхгүй хөөрхөн ааштай.
42,D:\Projects\speech-recognition-demo\audios\common_voice_mn_19521053.wav,True,5.64,Бид охины чинь оронд нэг сая доллар нэхэж байна.,train,Бид охины чинь оронд нэг сая доллар нэхэж байна.
43,D:\Projects\speech-recognition-demo\audios\common_voice_mn_19670535.wav,True,4.992,Тиймээс энэ дасгал бол яг үүний эсрэг утгыг танаас шаардаж байгаа юм.,test,Тиймээс энэ дасгал бол яг үүний эсрэг утгыг танаас шаардаж байгаа юм.
44,D:\Projects\speech-recognition-demo\audios\common_voice_mn_19670537.wav,True,5.16,Хамгийн их хайрладаг хүнээ алдсандаа охин маш их гашуудан шаналж байлаа.,train,Хамгийн их хайрладаг хүнээ алдсандаа охин маш их гашуудан шаналж байлаа.
45,D:\Projects\speech-recognition-demo\audios\common_voice_mn_18579237.wav,True,4.8,Ноён Барбара танд би зөвлөгөө өгөх байна.,train,Ноён Барбара танд би зөвлөгөө өгөх байна.
46,D:\Projects\speech-recognition-demo\audios\common_voice_mn_18579238.wav,True,4.56,Энэ чинь итали нэр биш болохоор тогтооход хэцүү юм.,train,Энэ чинь итали нэр биш болохоор тогтооход хэцүү юм.
47,D:\Projects\speech-recognition-demo\audios\common_voice_mn_19521489.wav,True,5.4,Байшинг анхааралтай ажигласан ч саяны хэлсэн бүгдээс илүү юм олж мэдсэнгүй.,train,Байшинг анхааралтай ажигласан ч саяны хэлсэн бүгдээс илүү юм олж мэдсэнгүй.
48,D:\Projects\speech-recognition-demo\audios\common_voice_mn_19521491.wav,True,5.52,"Гэхдээ, тэдэнтэй хамтран ажиллах ямар ч боломж гарсангүй.",train,"Гэхдээ, тэдэнтэй хамтран ажиллах ямар ч боломж гарсангүй."
49,D:\Projects\speech-recognition-demo\audios\common_voice_mn_18668064.wav,True,3.912,Намдаг авгад цай өгөөгүйгээ гэнэт санажээ.,train,Намдаг авгад цай өгөөгүйгээ гэнэт санажээ.
50,D:\Projects\speech-recognition-demo\audios\common_voice_mn_18668065.wav,True,6.0,Биднийг уг байшинд орж гарахыг Оросууд ямар нэгэн аргаар ажигласан байх гэж дүгнэлээ.,train,Биднийг уг байшинд орж гарахыг Оросууд ямар нэгэн аргаар ажигласан байх гэж дүгнэлээ.
51,D:\Projects\speech-recognition-demo\audios\common_voice_mn_20601797.wav,True,4.152,Шинэ жил ойртсон шиг санагдаж байна.,train,Шинэ жил ойртсон шиг санагдаж байна.
52,D:\Projects\speech-recognition-demo\audios\common_voice_mn_20601863.wav,True,6.48,Цэрэгмаа би уг нь явна гээгүй юм сан гэж хэлж ч чадсангүй.,train,Цэрэгмаа би уг нь явна гээгүй юм сан гэж хэлж ч чадсангүй.
53,D:\Projects\speech-recognition-demo\audios\common_voice_mn_19523683.wav,True,4.512,Харин нэг арга байж болох юм.,train,Харин нэг арга байж болох юм.
54,D:\Projects\speech-recognition-demo\audios\common_voice_mn_19523684.wav,True,3.6,Тийм амар түүний гараас салахгүй дээ.,train,Тийм амар түүний гараас салахгүй дээ.
55,D:\Projects\speech-recognition-demo\audios\common_voice_mn_19576778.wav,True,8.232,"Нүднийхээ жилийг арчиж, нүүрийнхээ тоосыг цэвэрлэнэ ээ гээд угааж арчиж гарав.",val,"Нүднийхээ жилийг арчиж, нүүрийнхээ тоосыг цэвэрлэнэ ээ гээд угааж арчиж гарав."
56,D:\Projects\speech-recognition-demo\audios\common_voice_mn_19576779.wav,True,5.568,Тэгээд л гэрээс хүн ирэхгүй болохоор уйлдаг байлаа.,train,Тэгээд л гэрээс хүн ирэхгүй болохоор уйлдаг байлаа.
57,D:\Projects\speech-recognition-demo\audios\common_voice_mn_18580841.wav,True,4.608,Ирээдүйд нэг авах сайн чанар бий.,train,Ирээдүйд нэг авах сайн чанар бий.
58,D:\Projects\speech-recognition-demo\audios\common_voice_mn_18580843.wav,True,4.272,Тэгээд нөхрөөсөө тэр ургамлыг авчирч өгөхийг гуйв.,train,Тэгээд нөхрөөсөө тэр ургамлыг авчирч өгөхийг гуйв.
59,D:\Projects\speech-recognition-demo\audios\common_voice_mn_18635143.wav,True,6.36,"""Өмнө дурдсанчлан Дээд Монголчуудын хувьд даяарчлал гэдэг бол """"Хятад болох"""" гэдэгтэй адил утгатай байдаг.""",train,"""Өмнө дурдсанчлан Дээд Монголчуудын хувьд даяарчлал гэдэг бол """"Хятад болох"""" гэдэгтэй адил утгатай байдаг."""
60,D:\Projects\speech-recognition-demo\audios\common_voice_mn_18635145.wav,True,4.68,Чулуу гэсэндээ булгалаад бут цохичихгүй бол ингээд сууж л байх юм.,train,Чулуу гэсэндээ булгалаад бут цохичихгүй бол ингээд сууж л байх юм.
61,D:\Projects\speech-recognition-demo\audios\common_voice_mn_19807242.wav,True,7.032,Турк сургуулийн захирал Вейсел Акчайг гэрийнх нь гаднаас хулгайлах гэсэн оролдлого болжээ.,train,Турк сургуулийн захирал Вейсел Акчайг гэрийнх нь гаднаас хулгайлах гэсэн оролдлого болжээ.
62,D:\Projects\speech-recognition-demo\audios\common_voice_mn_19807243.wav,True,5.28,"Нойр нь хүрэв үү, эсвэл ямар нэг зүйл тунгаан бодохыг хүсэв үү, бүү мэд.",train,"Нойр нь хүрэв үү, эсвэл ямар нэг зүйл тунгаан бодохыг хүсэв үү, бүү мэд."
63,D:\Projects\speech-recognition-demo\audios\common_voice_mn_18653124.wav,True,6.6,Үг олдож үхэр холдохоос өмнө гэрийн зүг гэдэн годон хийгээд гэлдэрье.,train,Үг олдож үхэр холдохоос өмнө гэрийн зүг гэдэн годон хийгээд гэлдэрье.
64,D:\Projects\speech-recognition-demo\audios\common_voice_mn_23904579.wav,True,4.992,Тэр хоёр бяруугаар нь бух тавьчих!,train,Тэр хоёр бяруугаар нь бух тавьчих!
65,D:\Projects\speech-recognition-demo\audios\common_voice_mn_20420229.wav,True,4.56,Эхнэрийнхээ гарыг атгаад хамт өнгөрүүлсэн сайхан дурсамжаасаа ярина.,train,Эхнэрийнхээ гарыг атгаад хамт өнгөрүүлсэн сайхан дурсамжаасаа ярина.
66,D:\Projects\speech-recognition-demo\audios\common_voice_mn_20420235.wav,True,5.952,"""Франклин """"Залхуу хойрго хийгээд үг дуугүй байна гэдэг тэнэгүүдийн хувь заяа"""" гэж хэлжээ.""",train,"""Франклин """"Залхуу хойрго хийгээд үг дуугүй байна гэдэг тэнэгүүдийн хувь заяа"""" гэж хэлжээ."""
67,D:\Projects\speech-recognition-demo\audios\common_voice_mn_20420238.wav,True,4.44,Алтан ордны улсын эзэн Батхаан алт мөнгөнд дурласан хэрэг үү.,train,Алтан ордны улсын эзэн Батхаан алт мөнгөнд дурласан хэрэг үү.
68,D:\Projects\speech-recognition-demo\audios\common_voice_mn_23551698.wav,True,4.272,Энэ талаар хүмүүс юу гэж ярьж байна?,train,Энэ талаар хүмүүс юу гэж ярьж байна?
69,D:\Projects\speech-recognition-demo\audios\common_voice_mn_23551700.wav,True,4.32,Цагаан цаас шиг цэвэр тунгалаг мөнгө ч бас биш ч юм шиг.,train,Цагаан цаас шиг цэвэр тунгалаг мөнгө ч бас биш ч юм шиг.
70,D:\Projects\speech-recognition-demo\audios\common_voice_mn_23551701.wav,True,5.28,Маш энгийн боловч сонирхолтой энэ туршилтыг анх Вебер хийж байжээ.,train,Маш энгийн боловч сонирхолтой энэ туршилтыг анх Вебер хийж байжээ.
71,D:\Projects\speech-recognition-demo\audios\common_voice_mn_23335765.wav,True,5.712,Энэ нь бухын тулаан гэсэн үг.,train,Энэ нь бухын тулаан гэсэн үг.
72,D:\Projects\speech-recognition-demo\audios\common_voice_mn_23335767.wav,True,5.04,Зам дагуу зээр гөрөөсний сүрэг хэдэнтээ таарав.,train,Зам дагуу зээр гөрөөсний сүрэг хэдэнтээ таарав.
73,D:\Projects\speech-recognition-demo\audios\common_voice_mn_23335768.wav,True,6.312,Юу ирж байгааг харахыг хүссэн ч хойшоо харж зүрхэлсэнгүй.,train,Юу ирж байгааг харахыг хүссэн ч хойшоо харж зүрхэлсэнгүй.
74,D:\Projects\speech-recognition-demo\audios\common_voice_mn_18577463.wav,True,5.016,Мөнгөн тэр азарганы үр юм гэсэн.,train,Мөнгөн тэр азарганы үр юм гэсэн.
75,D:\Projects\speech-recognition-demo\audios\common_voice_mn_18577465.wav,True,10.368,"Өнөөдөр Их Брританийн хунтайж Харри, Холливүүдийн жүжигчин Меган Маркл нар хуримаа хийж байна.",train,"Өнөөдөр Их Брританийн хунтайж Харри, Холливүүдийн жүжигчин Меган Маркл нар хуримаа хийж байна."
76,D:\Projects\speech-recognition-demo\audios\common_voice_mn_18577468.wav,True,7.104,Бид энэ залуугаас ганц хоёр зүйл тодруулж асуугаад удахгүй буцаагаад хүргээд ирнэ.,train,Бид энэ залуугаас ганц хоёр зүйл тодруулж асуугаад удахгүй буцаагаад хүргээд ирнэ.
77,D:\Projects\speech-recognition-demo\audios\common_voice_mn_19489791.wav,True,5.16,Жижиг шүүгээн дээр хайрцагтай тамхи байгааг Кирилл сая олж харав.,train,Жижиг шүүгээн дээр хайрцагтай тамхи байгааг Кирилл сая олж харав.
78,D:\Projects\speech-recognition-demo\audios\common_voice_mn_19489792.wav,True,6.072,"Галт тэрэгний яндан дахин хүнгэнэж, урт цуваа алгуурхан хөдөлж эхлэв.",train,"Галт тэрэгний яндан дахин хүнгэнэж, урт цуваа алгуурхан хөдөлж эхлэв."
79,D:\Projects\speech-recognition-demo\audios\common_voice_mn_19489793.wav,True,4.8,Бид монголчуудыг сайн мэдэж амжаагүй байна.,train,Бид монголчуудыг сайн мэдэж амжаагүй байна.
80,D:\Projects\speech-recognition-demo\audios\common_voice_mn_18986306.wav,True,9.192,Тэд үр дүнгийн төлөө тооцоолсон үнийг авч байсан бөгөөд наанадаж албаны маягаар хариуцлагатай байсан.,train,Тэд үр дүнгийн төлөө тооцоолсон үнийг авч байсан бөгөөд наанадаж албаны маягаар хариуцлагатай байсан.
81,D:\Projects\speech-recognition-demo\audios\common_voice_mn_18986307.wav,True,5.16,Хүүхнүүдийг хамгаалахад жонон дургүй гэдгийг тэр мэдэж байлаа.,train,Хүүхнүүдийг хамгаалахад жонон дургүй гэдгийг тэр мэдэж байлаа.
82,D:\Projects\speech-recognition-demo\audios\common_voice_mn_18986308.wav,True,4.992,Сэтгүүлч хана түшээд шалан дээр хагас хэвтэж байлаа.,train,Сэтгүүлч хана түшээд шалан дээр хагас хэвтэж байлаа.
83,D:\Projects\speech-recognition-demo\audios\common_voice_mn_18584009.wav,True,5.76,Харин хөдөөний ажил сурах болов уу л гэж аминдаа зовох юм.,train,Харин хөдөөний ажил сурах болов уу л гэж аминдаа зовох юм.
84,D:\Projects\speech-recognition-demo\audios\common_voice_mn_18584010.wav,True,5.4,Зөвхөн эрдэмтэн хүн л үүний учрыг олж тайлбарлаж чадна.,train,Зөвхөн эрдэмтэн хүн л үүний учрыг олж тайлбарлаж чадна.
85,D:\Projects\speech-recognition-demo\audios\common_voice_mn_18584011.wav,True,6.192,"Гансүх тэр орой гадуур гарч хүүхэдтэй тоглосон ч үгүй, гэртээ холхисоор байв.",train,"Гансүх тэр орой гадуур гарч хүүхэдтэй тоглосон ч үгүй, гэртээ холхисоор байв."
86,D:\Projects\speech-recognition-demo\audios\common_voice_mn_18758744.wav,True,4.44,Дөрвөн толгой цаасан дээр буулгасан зураг руу тонгойв.,train,Дөрвөн толгой цаасан дээр буулгасан зураг руу тонгойв.
87,D:\Projects\speech-recognition-demo\audios\common_voice_mn_18758746.wav,True,3.768,Тийм байж таарлаа шүү гээд хамгаалагчид инээлдэв.,train,Тийм байж таарлаа шүү гээд хамгаалагчид инээлдэв.
88,D:\Projects\speech-recognition-demo\audios\common_voice_mn_18758747.wav,True,5.712,Хөрс шороотой л газар бол амьдарч байх хугацаандаа мод суулгаарай.,train,Хөрс шороотой л газар бол амьдарч байх хугацаандаа мод суулгаарай.
89,D:\Projects\speech-recognition-demo\audios\common_voice_mn_19490434.wav,True,9.072,Одоо Уламжлалт намын тэргүүн Жон Мажор Их Британийн ерөнхий сайдын албыг хашиж байгаа ажээ.,train,Одоо Уламжлалт намын тэргүүн Жон Мажор Их Британийн ерөнхий сайдын албыг хашиж байгаа ажээ.
90,D:\Projects\speech-recognition-demo\audios\common_voice_mn_19490436.wav,True,5.88,Иймээс Бувардай тэр хоёр эндээс хурдан оргон зайлах аргаа сүвэгчилж эхлэв.,train,Иймээс Бувардай тэр хоёр эндээс хурдан оргон зайлах аргаа сүвэгчилж эхлэв.
91,D:\Projects\speech-recognition-demo\audios\common_voice_mn_19490438.wav,True,6.552,Ганцхан тэр чигт бий гэж тааварлаад хоёр их нурууг тусгаарласан өргөн хөндийг туулж явлаа.,train,Ганцхан тэр чигт бий гэж тааварлаад хоёр их нурууг тусгаарласан өргөн хөндийг туулж явлаа.
92,D:\Projects\speech-recognition-demo\audios\common_voice_mn_18581002.wav,True,8.832,"Хүн ам өссөнөөр хот тохижилт, ялангуяа хог хаягдлын асуудал илүү хүндрэлтэй болжээ.",train,"Хүн ам өссөнөөр хот тохижилт, ялангуяа хог хаягдлын асуудал илүү хүндрэлтэй болжээ."
93,D:\Projects\speech-recognition-demo\audios\common_voice_mn_18581003.wav,True,7.944,Их Төрөлхтөн өлбөрч үхэх шахсан эх барыг хараад өөрийн эрхгүй өрөвдөх сэтгэл төржээ.,train,Их Төрөлхтөн өлбөрч үхэх шахсан эх барыг хараад өөрийн эрхгүй өрөвдөх сэтгэл төржээ.
94,D:\Projects\speech-recognition-demo\audios\common_voice_mn_18581004.wav,True,5.592,Арван цагийн үед хүүхдүүд бид хоёрыг сэрээлээ.,train,Арван цагийн үед хүүхдүүд бид хоёрыг сэрээлээ.
95,D:\Projects\speech-recognition-demo\audios\common_voice_mn_18747201.wav,True,3.72,Ингээд би улаан болсон юм аа.,train,Ингээд би улаан болсон юм аа.
96,D:\Projects\speech-recognition-demo\audios\common_voice_mn_18747202.wav,True,3.24,Хэн түүнийг ингэв гэж шүүмжлэх билээ.,train,Хэн түүнийг ингэв гэж шүүмжлэх билээ.
97,D:\Projects\speech-recognition-demo\audios\common_voice_mn_18747205.wav,True,4.32,Чингис-Шихихутаг төрийн хууль ёсыг захирсан өрлөг болсон.,train,Чингис-Шихихутаг төрийн хууль ёсыг захирсан өрлөг болсон.
98,D:\Projects\speech-recognition-demo\audios\common_voice_mn_19418954.wav,True,5.112,Одоо би Танд сүүгээ дандаа үнэгүй өгч байна!,train,Одоо би Танд сүүгээ дандаа үнэгүй өгч байна!
99,D:\Projects\speech-recognition-demo\audios\common_voice_mn_19418955.wav,True,3.792,Дүү охин тэгээд ямар зорилготой ирэв дээ?,val,Дүү охин тэгээд ямар зорилготой ирэв дээ?
100,D:\Projects\speech-recognition-demo\audios\common_voice_mn_19418956.wav,True,3.48,Нэг үхэхээс хоёр үхэх юм биш!,train,Нэг үхэхээс хоёр үхэх юм биш!
101,D:\Projects\speech-recognition-demo\audios\common_voice_mn_18606194.wav,True,5.64,Тэр дөрвөн хоригдлын нэг нь Глымов байв.,train,Тэр дөрвөн хоригдлын нэг нь Глымов байв.
102,D:\Projects\speech-recognition-demo\audios\common_voice_mn_18606196.wav,True,6.552,"Гэтэл, нөхрийнхөө хамт радийг нээн илрүүлж байхдаа уг өвчнийг олсон байжээ.",train,"Гэтэл, нөхрийнхөө хамт радийг нээн илрүүлж байхдаа уг өвчнийг олсон байжээ."
103,D:\Projects\speech-recognition-demo\audios\common_voice_mn_18606197.wav,True,7.032,Багш нимгэн дэвтрийг дундуур нь огтлон тал тал дэвтэр бидэнд тавьж өгнө.,train,Багш нимгэн дэвтрийг дундуур нь огтлон тал тал дэвтэр бидэнд тавьж өгнө.
104,D:\Projects\speech-recognition-demo\audios\common_voice_mn_18577224.wav,True,5.856,Мөн тэр хатуу хүмүүжлийн үзэл санаа дэвшүүлсэн.,train,Мөн тэр хатуу хүмүүжлийн үзэл санаа дэвшүүлсэн.
